name,url,description,job_levels,languages,assessment_length,test_types,remote_testing,downloads
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 36,"A, K, P",No,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Administrative Professional One Sitting_USE.pdf'}]"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 51,"A, B, P, S",No,"[{'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_ Agency Manager Solution One Sitting_USE.pdf'}]"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.","General Population, Graduate, Entry-Level,","English International, German,",Approximate Completion Time in minutes = 30,"B, P",No,"[{'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice %2B8.0 - Detailed Sample Report (English - Aug 2023).pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice %2B8.0 - Candidate Sample Report (English - Aug 2023).pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice %2B8.0 - Interview Sample Report (English - Aug 2023).pdf'}, {'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Apprentice %2B8.0 JFA Product Fact Sheet.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice %2B8.0 - Candidate Sample Report (German - Aug 2023).pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice %2B8.0 - Interview Sample Report (German - Aug 2023).pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice %2B8.0 - Detailed Sample Report (German - Aug 2023).pdf'}]"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.","Entry-Level, General Population, Graduate,","English International, German, French,",Approximate Completion Time in minutes = 20,"B, P",No,"[{'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Apprentice 8.0 JFA Fact Sheet.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_CandidateReport_INT.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_DetailedReport_INT.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_InterviewReport_INT.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_CandidateReport_DEU.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_DetailedReport_DEU.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_InterviewReport_DEU.pdf'}]"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 35,"A, B, K, P",No,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Administrative Assistant One Sitting_USE.pdf'}]"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 45,"A, B, P",No,"[{'name': 'Fact Sheet Bank Collections Agent One Sitting', 'url': 'https://service.shl.com/docs/Fact Sheet Bank Collections Agent One Sitting.pdf'}]"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 45,"A, B, P, S",No,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Bank Operations Supervisor One Sitting_USE.pdf'}]"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","Entry-Level,","English (USA), Latin American Spanish,",Approximate Completion Time in minutes = 43,"B, P, S, A",No,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Bilingual Reservation Agent One Sitting_USE.pdf'}]"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 49,"P, S, K, B, A",No,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Bookkeeping, Accounting, Auditing Clerk - Short Form.pdf'}]"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 50,"A, B, P",No,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Branch Manager One Sitting_USE.pdf'}]"
